hotel_name,hotel_url,hotel_location,group_label,brand_label,group_type,lat,lon,formatted_address,provider,confidence,place_id,types,partial_match,status
The St. Regis Deer Valley,https://www.americanexpress.com/en-us/travel/discover/property/Utah-US/Park-City/The-St-Regis-Deer-Valley?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Deer-Valley,"Park City, Utah US",FINE HOTELS + RESORTS,St. Regis,Program,40.6380669,-111.477191,"2300 Deer Valley Dr E, Park City, UT 84060, USA",google_places,PLACE_DETAILS,ChIJ4dpTziQNUocRziUpSCuW9gk,establishment;lodging;point_of_interest,False,CACHED
"The St. Regis Kanai Resort, Riviera Maya",https://www.americanexpress.com/en-us/travel/discover/property/Quintana-Roo-MX/Playa-del-Carmen/The-St-Regis-Kanai-Resort-Riviera-Maya?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Kanai-Resort-Riviera-Maya,"Playa del Carmen, Quintana Roo MX",FINE HOTELS + RESORTS,St. Regis,Program,20.7188711,-86.98872949999999,"Paseo Kanai 15, Solidaridad, 77730 Playa del Carmen, Q.R., Mexico",google_places,PLACE_DETAILS,ChIJ_ZGdTd1nTo8REzOSVPwIupQ,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Cap Cana Resort,https://www.americanexpress.com/en-us/travel/discover/property/Dominican-Republic/Punta-Cana/The-St-Regis-Cap-Cana-Resort?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Cap-Cana-Resort,"Punta Cana, Dominican Republic",FINE HOTELS + RESORTS,St. Regis,Program,18.4560625,-68.4153125,"Punta Cana 23000, Dominican Republic",google_places,PLACE_DETAILS,ChIJ9701yJibqI4R2OeUYjuQJ9A,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Punta Mita Resort,https://www.americanexpress.com/en-us/travel/discover/property/Nayarit-MX/Punta-de-Mita/The-St-Regis-Punta-Mita-Resort?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Punta-Mita-Resort,"Punta de Mita, Nayarit MX",FINE HOTELS + RESORTS,St. Regis,Program,20.7679501,-105.5378292,"Lote H-4 Carretera Federal 200, Km 19.5, 63734 Corral del Risco, Nay., Mexico",google_places,PLACE_DETAILS,ChIJf_cO2y8TIYQRLohfyI8YsDA,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Qingdao,https://www.americanexpress.com/en-us/travel/discover/property/China/Qingdao/The-St-Regis-Qingdao?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Qingdao,"Qingdao, China",FINE HOTELS + RESORTS,St. Regis,Program,36.056576,120.369406,"No, 48 香港西路市南区青岛市山东省 China, 266000",google_places,PLACE_DETAILS,ChIJDZbg9WwQljURBFqBQqQNefc,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Riyadh,https://www.americanexpress.com/en-us/travel/discover/property/Saudi-Arabia/Riyadh/The-St-Regis-Riyadh?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Riyadh,"Riyadh, Saudi Arabia",FINE HOTELS + RESORTS,St. Regis,Program,24.6665607,46.6264376,"2941 Makkah Al Mukarramah Road, Al Hada، District، Riyadh 12912, Saudi Arabia",google_places,PLACE_DETAILS,ChIJN06I3mYcLz4R2IHkBxMAC58,bar;establishment;lodging;point_of_interest,False,CACHED
The St. Regis Rome,https://www.americanexpress.com/en-us/travel/discover/property/Italy/Rome/The-St-Regis-Rome?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Rome,"Rome, Italy",FINE HOTELS + RESORTS,St. Regis,Program,41.9040717,12.4948729,"Via Vittorio Emanuele Orlando, 3, 00185 Roma RM, Italy",google_places,PLACE_DETAILS,ChIJx2SA37dsJRMRK89K-Hte_A8,establishment;lodging;point_of_interest,False,CACHED
The St. Regis San Francisco,https://www.americanexpress.com/en-us/travel/discover/property/California-US/San-Francisco/The-St-Regis-San-Francisco?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-San-Francisco,"San Francisco, California US",FINE HOTELS + RESORTS,St. Regis,Program,37.7861299,-122.4014681,"125 3rd St, San Francisco, CA 94103, USA",google_places,PLACE_DETAILS,ChIJFzmL9IeAhYARH75pRwnV0sk,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Sanya Yalong Bay Resort,https://www.americanexpress.com/en-us/travel/discover/property/China/Sanya/The-St-Regis-Sanya-Yalong-Bay-Resort?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Sanya-Yalong-Bay-Resort,"Sanya, China",FINE HOTELS + RESORTS,St. Regis,Program,18.223104,109.61242,"Yalong Bay National Resort District, 6JF6+6XV吉阳区三亚市海南省 China, 572016",google_places,PLACE_DETAILS,ChIJwWgz2ou0WjER372ePK46614,establishment;lodging;point_of_interest,False,CACHED
"The St. Regis on the Bund, Shanghai",https://www.americanexpress.com/en-us/travel/discover/property/China/Shanghai/The-St-Regis-On-The-Bund-Shanghai?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-On-The-Bund-Shanghai,"Shanghai, China",FINE HOTELS + RESORTS,St. Regis,Program,31.232645,121.45198,"China, Shang Hai Shi, Jing An Qu, 北京西路1008号 邮政编码: 200041",google_places,PLACE_DETAILS,ChIJ3zW5_BtwsjUR2kyc6h8k0E8,establishment;lodging;point_of_interest,False,CACHED
